PDB_ID,af3,boltz,hf3,rf2na
8SFL,0.883080,0.876130,0.194880,0.282580
8SFN,0.978970,0.937950,0.230700,0.332180
8SFR,0.938070,0.908300,0.218480,0.354640
8SH5,0.796000,0.912060,0.864450,0.421370
8SQU,0.953490,0.951890,0.234690,0.533670
8SXT,0.973290,0.961050,0.951870,0.874150
8T29,0.886490,0.852840,0.886860,0.418790
8T2P,0.275360,0.264960,0.300180,0.262510
8UZA,0.947060,0.900100,0.835140,0.323410
8VFS,0.563080,0.424730,0.267510,0.212850
8VIV,0.986770,0.984510,0.900700,0.913290
8VMB,0.803220,0.811830,0.836550,0.448000
8WFA,0.640920,0.614200,0.583340,0.167760
8WRR,0.760560,0.597310,0.206580,0.192800
8WRS,0.782840,0.626740,0.292190,0.192190
8WRT,0.670880,0.657120,0.200770,0.342670
8WRU,0.365460,0.362470,0.211410,0.187210
8WRV,0.245910,0.238650,0.271960,0.213600
8WS9,0.871780,0.602650,0.222420,0.146170
8X5V,0.953840,0.932250,0.232060,0.665270
8XCC,0.328350,0.365320,0.388430,0.174430
8XTP,0.311370,0.167530,0.183560,0.101590
8XYC,0.756210,0.341030,0.197300,0.196810
8Y03,0.983720,0.790850,0.202130,0.786040
8Y04,0.894830,0.873960,0.816930,0.846000
8Y0C,0.978850,0.911620,0.236830,0.324850
8Y0D,0.872980,0.828150,0.265620,0.469930
8Y7Z,0.970790,0.968920,0.224460,0.584150
8Y9L,0.331440,0.258340,0.245220,0.226830
8Y9M,0.358690,0.222210,0.191360,0.187510
8YDC,0.359450,0.411540,0.377990,0.161620
8Z1F,0.902230,0.915340,0.903190,0.869020
8Z9K,0.219810,0.249110,0.215750,0.197060
8ZMI,0.767120,0.787340,0.811840,0.788360
8ZNJ,0.837080,0.704360,0.275100,0.369130
8ZTY,0.905090,0.770880,0.242990,0.210670
9B2K,0.621310,0.468130,0.516320,0.076430
9BXE,0.360540,0.365250,0.321870,0.226620
9C0I,0.726770,0.706730,0.212480,0.692730
9CER,0.297690,0.219990,0.205700,0.193350
9CEU,0.833520,0.840670,0.223110,0.204720
9CMP,0.831410,0.879600,0.832060,0.750110
9CPD,0.372300,0.410240,0.333860,0.443130
9CPJ,0.366020,0.433850,0.486650,0.433720
9DCF,0.510360,0.482650,0.234200,0.447710
9DIB,0.279550,0.190550,0.214490,0.170110
9DIG,0.207940,0.249150,0.217470,0.207670
9DII,0.226150,0.185070,0.192350,0.216090
9DTT,0.699080,0.703340,0.238270,0.675920
9E7G,0.796530,0.863920,0.817070,0.447140
9ENE,0.945470,0.757990,0.225730,0.835540
9FCV,0.941870,0.930310,0.242420,0.282480
9GBZ,0.738220,0.758350,0.718920,0.361400
9H82,0.085630,0.089290,0.085560,0.084920
9H83,0.217390,0.228690,0.158700,0.265490
9I8B,0.442260,0.390220,0.337380,0.352490
9IIY,0.820460,0.844630,0.232780,0.763150
9IIZ,0.873980,0.876200,0.287580,0.843570
9IJ0,0.965310,0.899280,0.245590,0.892970
9IJ1,0.862690,0.933400,0.246920,0.794050
9IJ2,0.897220,0.878700,0.886880,0.841380
9IJ3,0.897470,0.906810,0.231740,0.806870
9IJ4,0.898370,0.940050,0.305360,0.824110
9IJ5,0.913780,0.913420,0.863610,0.837060
9JSP,0.928700,0.951960,0.310570,0.643810
9KAD,0.302710,0.337020,0.241100,0.389660
9KPH,0.209070,0.195580,0.222680,0.140300
9KPO,0.165450,0.158070,0.211690,0.125630
9L6Y,0.935780,0.900550,0.324270,0.756670
9MX3,0.920700,0.856120,0.872740,0.887300
9NVU,0.505520,0.515570,0.234580,0.200920
M1209,0.708250,0.699660,0.702890,0.414420
M1293,0.866990,0.850490,0.924180,0.420980
M1296,0.845650,0.805400,0.828820,0.860680
