PDB_ID,af3,boltz,chai,hf3,nufold,rf2na,rhofold,trrosetta
8K30,0.72,0.4,0.59,0.6,0.54,0.25,0.65,0.68
8K8B,0.68,0.7,0.64,0.56,0.63,0.52,0.63,0.48
8KEB,0.79,0.56,0.54,0.74,0.53,0.25,0.64,0.49
8Q4O,0.27,0.03,0.22,0.22,0.26,0.09,0.21,0.22
8Q6N,0.65,0.64,0.62,0.57,0.77,0.47,0.58,0.54
8QO2,0.54,0.34,0.34,0.47,0.56,0.21,0.53,0.54
8QO3,0.7,0.68,0.66,0.68,0.65,0.3,0.66,0.58
8QO4,0.58,0.46,0.52,0.54,0.53,0.16,0.55,0.52
8QO5,0.67,0.48,0.47,0.53,0.6,0.21,0.55,0.48
8SCF,0.74,0.78,0.77,0.66,0.75,0.18,0.68,0.51
8SCH,0.73,0.64,0.62,0.57,0.62,0.42,0.6,0.57
8T5O,0.43,0.38,0.37,0.31,0.34,0.23,0.34,0.34
8TNS,0.23,0.28,0.28,0.02,0.23,0.03,0.22,0.23
8TVZ,0.62,0.44,0.58,0.58,0.41,0.22,0.0,0.43
8UPT,0.68,0.69,0.6,0.55,0.54,0.4,0.6,0.63
8UTG,0.29,0.16,0.23,0.02,0.21,0.12,0.21,0.21
8UYG,,,,,,,,
8UYM,,,,,,,,
8UYP,,,,,,,,
8V1H,0.77,0.61,0.7,0.75,0.62,0.16,0.62,0.54
8V1I,0.72,0.42,0.63,0.53,0.5,0.32,0.6,0.62
8VCI,0.61,0.52,0.6,0.51,0.41,0.26,0.55,0.55
8VT5,0.69,0.56,0.45,0.62,0.43,0.27,0.67,0.67
8XZL,0.62,0.63,0.59,0.56,0.52,0.46,0.54,0.44
8ZAU,0.58,0.49,0.46,0.56,0.5,0.19,0.61,0.45
9BLM,0.79,0.78,0.5,0.56,0.73,0.57,0.58,0.43
9BUN,0.48,0.44,0.47,0.46,0.34,0.27,0.46,0.44
9DE6,0.73,0.21,0.8,0.77,0.76,0.52,0.64,0.65
9DE7,0.8,0.73,0.76,0.75,0.69,0.4,0.63,0.64
9ECQ,0.75,0.76,0.78,0.68,0.76,0.3,0.68,0.71
9ECR,0.64,0.66,0.7,0.66,0.67,0.11,0.62,0.61
9EOW,0.7,0.56,0.71,0.66,0.74,0.22,0.72,0.56
9EWW,0.46,0.39,0.22,0.36,0.36,0.19,0.0,0.31
9FM4,0.67,0.64,0.68,0.56,0.64,0.42,0.64,0.63
9FO8,0.59,0.63,0.62,0.61,0.6,0.42,0.64,0.65
9FO9,0.6,0.63,0.66,0.58,0.69,0.53,0.66,0.68
9G7C,0.55,0.33,0.31,0.42,0.41,0.18,0.42,0.46
9IO0,0.8,0.81,0.75,0.67,0.53,0.52,0.7,0.72
9IO1,0.68,0.75,0.67,0.44,0.54,0.4,0.66,0.66
9IOR,0.76,0.8,0.7,0.75,0.52,0.52,0.68,0.7
9IOS,0.7,0.74,0.77,0.68,0.51,0.22,0.6,0.66
9IOU,0.71,0.77,0.64,0.55,0.58,0.42,0.68,0.67
R1205,0.41,0.37,0.28,0.45,0.24,0.3,0.33,0.34
R1209,0.6,0.47,0.58,0.57,0.5,0.35,0.54,0.54
R1211,0.63,0.59,0.62,0.73,0.59,0.26,0.53,0.53
R1212,0.39,0.42,0.5,0.39,0.45,0.03,0.41,0.42
R1248,0.18,0.0,0.13,0.15,0.16,0.07,0.15,0.17
R1263,0.63,0.55,0.56,0.58,0.6,0.83,0.62,0.75
R1271,0.73,0.57,0.73,0.72,0.48,0.28,0.57,0.52
R1288,0.64,0.62,0.54,0.41,0.45,0.48,0.55,0.39
R1293,0.55,0.48,0.54,0.6,0.3,0.2,0.46,0.51
R1296,0.69,0.57,0.58,0.69,0.58,0.36,0.55,0.55
