PDB_ID,Model_ID,TM_Score
7UGA,7UGA_1,0.62330
7UGA,7UGA_4,0.62337
7UGA,7UGA_2,0.62319
7UGA,7UGA,0.62305
R1271,R1271_3,0.78960
R1271,R1271_1,0.79020
R1271,R1271,0.79173
R1271,R1271_4,0.79056
R1271,R1271_2,0.78921
7V06,7V06,0.68218
7V06,7V06_4,0.67721
7V06,7V06_1,0.67584
7V06,7V06_3,0.67629
7V06,7V06_2,0.68700
R1293,R1293,0.30095
R1293,R1293_2,0.30874
R1293,R1293_3,0.30100
R1293,R1293_1,0.30130
R1293,R1293_4,0.30135
8XZL,8XZL_2,0.65330
8XZL,8XZL_4,0.65320
8XZL,8XZL_3,0.65264
8XZL,8XZL,0.65268
8XZL,8XZL_1,0.65245
8EDP,8EDP_4,0.37926
8EDP,8EDP_3,0.37893
8EDP,8EDP,0.36532
8EDP,8EDP_1,0.37900
8EDP,8EDP_2,0.36540
8Q4O,8Q4O_2,0.34658
8Q4O,8Q4O_3,0.34652
8Q4O,8Q4O,0.34649
8Q4O,8Q4O_1,0.34619
8Q4O,8Q4O_4,0.34655
8BM6,8BM6_3,0.60229
8BM6,8BM6_4,0.60177
8BM6,8BM6,0.54442
8BM6,8BM6_1,0.60248
8BM6,8BM6_2,0.60629
R1253v2,R1253v2_4,0.09348
R1253v2,R1253v2_3,0.09410
R1253v2,R1253v2_2,0.10583
R1253v2,R1253v2,0.09672
R1253v2,R1253v2_1,0.08845
7UME,7UME_3,0.84762
7UME,7UME_4,0.84759
7UME,7UME_2,0.84776
7UME,7UME_1,0.84736
7UME,7UME,0.84750
R1242,R1242_3,0.21205
R1242,R1242_1,0.15992
R1242,R1242,0.19570
R1242,R1242_4,0.16073
R1242,R1242_2,0.16316
8TNS,8TNS,0.29702
8TNS,8TNS_3,0.29706
8TNS,8TNS_2,0.20929
8TNS,8TNS_4,0.29702
8TNS,8TNS_1,0.29707
8SCH,8SCH_2,0.41399
8SCH,8SCH,0.41551
8SCH,8SCH_1,0.41067
8SCH,8SCH_4,0.41650
8SCH,8SCH_3,0.42172
9BUN,9BUN_2,0.51849
9BUN,9BUN,0.51856
9BUN,9BUN_1,0.51822
9BUN,9BUN_3,0.51886
9BUN,9BUN_4,0.51857
R1250,R1250_1,0.08231
R1250,R1250,0.07351
R1250,R1250_2,0.07619
R1250,R1250_3,0.07615
R1250,R1250_4,0.07500
8BWT,8BWT,0.72148
8BWT,8BWT_2,0.72127
8BWT,8BWT_4,0.72140
8BWT,8BWT_1,0.72135
8BWT,8BWT_3,0.72120
R1252,R1252_3,0.09373
R1252,R1252,0.10089
R1252,R1252_2,0.08555
R1252,R1252_1,0.10030
R1252,R1252_4,0.07896
R1203,R1203_1,0.50893
R1203,R1203,0.53459
R1203,R1203_3,0.51574
R1203,R1203_4,0.52789
R1203,R1203_2,0.50722
R1251,R1251_3,0.06200
R1251,R1251_4,0.07170
R1251,R1251_2,0.07631
R1251,R1251_1,0.06260
R1251,R1251,0.07071
8QO3,8QO3_3,0.39259
8QO3,8QO3,0.39246
8QO3,8QO3_2,0.39224
8QO3,8QO3_4,0.39235
8QO3,8QO3_1,0.39215
R1283v1,R1283v1,0.13323
R1283v1,R1283v1_4,0.14761
R1283v1,R1283v1_1,0.14790
R1283v1,R1283v1_3,0.14464
R1283v1,R1283v1_2,0.15114
R1264,R1264_1,0.90458
R1264,R1264,0.90373
R1264,R1264v1,0.90438
R1264,R1264v1_3,0.90461
R1264,R1264v1_1,0.90424
R1264,R1264_3,0.90442
R1264,R1264v1_2,0.90411
R1264,R1264v1_4,0.90480
R1264,R1264_2,0.90447
R1264,R1264_4,0.90431
8I44,8I44_3,0.66459
8I44,8I44_2,0.66534
8I44,8I44_1,0.66508
8I44,8I44_4,0.66507
8I44,8I44,0.66555
R1212,R1212_1,0.24721
R1212,R1212,0.22955
R1212,R1212_4,0.23109
R1212,R1212_3,0.22866
R1212,R1212_2,0.24672
R1256,R1256_1,0.30265
R1256,R1256_4,0.30229
R1256,R1256_2,0.30264
R1256,R1256_3,0.30239
R1256,R1256,0.30263
R1281,R1281_1,0.09596
R1281,R1281_2,0.07994
R1281,R1281,0.06623
R1281,R1281_4,0.07553
R1281,R1281_3,0.07149
8CQ1,8CQ1_1,0.79425
8CQ1,8CQ1_2,0.79432
8CQ1,8CQ1,0.79467
8CQ1,8CQ1_4,0.79389
8CQ1,8CQ1_3,0.79485
8JHP,8JHP_3,0.72366
8JHP,8JHP_4,0.72379
8JHP,8JHP_2,0.72407
8JHP,8JHP_1,0.72365
8JHP,8JHP,0.72374
7UCR,7UCR_1,0.98334
7UCR,7UCR_2,0.98318
7UCR,7UCR_3,0.98354
7UCR,7UCR_4,0.98345
7UCR,7UCR,0.98331
8BU8,8BU8_4,0.20540
8BU8,8BU8_2,0.21920
8BU8,8BU8_1,0.20739
8BU8,8BU8,0.20711
8BU8,8BU8_3,0.20842
R1254,R1254_1,0.15547
R1254,R1254_2,0.15894
R1254,R1254_3,0.16474
R1254,R1254,0.15327
R1254,R1254_4,0.13615
R1286,R1286,0.09648
R1286,R1286_2,0.08287
R1286,R1286_3,0.11952
R1286,R1286_1,0.08936
R1286,R1286_4,0.08286
R1211,R1211_1,0.41624
R1211,R1211_3,0.41265
R1211,R1211,0.41418
R1211,R1211_4,0.39990
R1211,R1211_2,0.41231
8FCS,8FCS_3,0.79936
8FCS,8FCS,0.80048
8FCS,8FCS_2,0.80042
8FCS,8FCS_4,0.79972
8FCS,8FCS_1,0.80045
8VT5,8VT5,0.56992
8VT5,8VT5_3,0.63384
8VT5,8VT5_4,0.77217
8VT5,8VT5_2,0.56898
8VT5,8VT5_1,0.76993
