PDB_ID,TM-scoreRNA,INF-ALL,INF-WC,INF-NWC,INF-STACK,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lddt,C-lddt,ptm,TM_ScoreMAX
8BTZ,0.22254,0.87,0.99,0.2,0.83,0.13,0.08,0.12,0.14,0.2,0.63,0.75,0.2365849167108535,0.36102
8BU8,0.35885,0.87,0.96,0.0,0.84,0.2,0.05,0.11,0.26,0.39,0.57,0.82,0.2442228645086288,0.36292
8BWT,0.21981,0.89,0.95,,0.86,0.65,0.31,0.5,0.81,1.0,0.74,0.75,0.217563658952713,0.32736
8CLR,0.22713,0.97,1.0,,0.95,0.88,0.57,0.93,1.0,1.0,0.75,0.91,0.0545023567974567,0.41608
8CQ1,0.42347,0.9,1.0,,0.85,0.71,0.34,0.57,0.93,1.0,0.73,0.8,0.2841062843799591,0.48478
8FB3,0.37594,0.68,0.68,0.24,0.79,0.76,0.35,0.74,0.94,1.0,0.42,0.73,0.3163679540157318,0.46721
8FCS,0.615,0.85,0.85,,0.85,0.69,0.3,0.68,0.89,0.9,0.8,0.82,0.3006088733673095,0.56747
8FZA,0.19618,0.37,0.36,0.0,0.5,0.46,0.28,0.38,0.55,0.62,0.19,0.43,0.3369587659835815,0.44683
8HB8,0.19319,0.59,0.79,0.0,0.61,0.24,0.14,0.24,0.26,0.33,0.29,0.46,0.176832228899002,0.34484
8I43,0.19486,0.78,0.86,,0.78,0.6,0.32,0.53,0.63,0.95,0.77,0.86,0.0363661125302314,0.28083
8I44,0.21954,0.81,0.94,,0.78,0.67,0.37,0.53,0.79,1.0,0.8,0.86,0.0361266881227493,0.32711
8I45,0.19284,0.83,1.0,,0.78,0.71,0.32,0.63,0.9,1.0,0.58,0.83,0.0363305918872356,0.2893
8I46,0.21902,0.9,1.0,,0.84,0.71,0.42,0.63,0.79,1.0,0.74,0.8,0.036089364439249,0.28685
8ITS,0.26224,0.85,0.97,0.58,0.84,0.35,0.24,0.3,0.39,0.46,0.49,0.58,0.3519690036773681,0.36242
8JHP,0.25444,0.65,0.56,1.0,0.67,0.61,0.3,0.48,0.67,1.0,0.5,0.63,0.2108554393053054,0.30613
8K2Z,0.58768,0.63,0.7,0.5,0.6,0.75,0.37,0.65,1.0,1.0,0.4,0.82,0.3858972191810608,0.50856
8K30,0.37553,0.24,0.1,0.0,0.33,0.51,0.35,0.52,0.58,0.6,0.4,0.62,0.3360897302627563,0.56405
8K8B,0.20711,0.78,1.0,1.0,0.63,0.67,0.37,0.53,0.84,0.95,0.7,0.82,0.0371873639523983,0.40757
8KEB,0.60309,0.37,0.0,0.0,0.56,0.69,0.31,0.55,0.89,1.0,0.56,0.73,0.3726909160614013,0.68851
8Q4O,0.11463,0.31,,0.0,0.71,0.32,0.17,0.26,0.35,0.48,0.03,0.44,0.0961694717407226,0.18369
8Q6N,0.54981,0.87,0.91,0.5,0.89,0.78,0.35,0.78,1.0,1.0,0.64,0.79,0.2939518392086029,0.54936
8QO2,0.24538,0.55,0.45,0.0,0.6,0.07,0.04,0.05,0.08,0.09,0.34,0.55,0.1913475096225738,0.41235
8QO3,0.41034,0.76,0.72,0.0,0.79,0.35,0.15,0.29,0.44,0.52,0.68,0.74,0.2135147601366043,0.4036
8QO4,0.41335,0.67,0.64,0.0,0.7,0.26,0.09,0.15,0.31,0.5,0.46,0.62,0.2159912884235382,0.44961
8QO5,0.31311,0.64,0.42,,0.72,0.21,0.08,0.16,0.23,0.39,0.48,0.65,0.1827849000692367,0.4097
8SCF,0.41437,0.82,0.91,,0.78,0.82,0.63,0.73,0.9,1.0,0.78,0.78,0.2572501897811889,0.50094
8SCH,0.29319,0.83,0.91,,0.79,0.39,0.22,0.32,0.43,0.6,0.64,0.75,0.2335947901010513,0.39111
8T5O,0.30955,0.41,0.0,0.0,0.58,0.26,0.14,0.2,0.28,0.4,0.38,0.55,0.2268169075250625,0.36606
8TNS,0.14566,0.0,,,0.0,0.29,0.17,0.17,0.33,0.5,0.28,0.35,0.2029094099998474,0.18641
8TVZ,0.44026,0.82,0.91,0.0,0.8,0.17,0.05,0.11,0.18,0.33,0.44,0.65,0.3314674198627472,0.32543
8UPT,0.66113,0.74,0.79,0.45,0.75,0.16,0.1,0.13,0.17,0.22,0.69,0.76,0.3268556594848633,0.63427
8UTG,0.16531,0.43,,0.17,0.63,0.48,0.24,0.38,0.48,0.81,0.16,0.45,0.0605529621243476,0.26499
8UYG,0.36566,0.79,0.9,0.0,0.76,0.31,0.13,0.24,0.38,0.47,,,0.2666347026824951,0.40504
8UYM,0.40098,0.78,0.78,0.0,0.81,0.33,0.16,0.33,0.38,0.45,,,0.25434410572052,0.42196
8UYP,0.31299,0.74,0.73,0.35,0.75,0.25,0.13,0.2,0.29,0.39,,,0.2131867706775665,0.46527
8V1H,0.59434,0.33,0.11,0.0,0.46,0.18,0.13,0.17,0.2,0.24,0.61,0.85,0.4412041902542114,0.49654
8V1I,0.56803,0.33,0.0,0.0,0.5,0.75,0.34,0.69,0.95,1.0,0.42,0.77,0.4524900019168854,0.54171
8VCI,0.36171,0.81,0.89,0.0,0.79,0.28,0.14,0.18,0.3,0.48,0.52,0.66,0.3206799328327179,0.3852
8VT5,0.67695,0.87,0.98,0.5,0.83,0.8,0.44,0.78,0.97,1.0,0.56,0.85,0.4386595785617828,0.5276
8XZL,0.40012,0.83,0.89,0.41,0.85,0.59,0.25,0.48,0.69,0.92,0.63,0.71,0.2356083244085312,0.45627
8ZAU,0.29659,0.74,0.88,0.0,0.73,0.34,0.22,0.29,0.38,0.46,0.49,0.62,0.1923644244670868,0.41859
9BLM,0.51669,0.89,0.98,0.58,0.87,0.62,0.31,0.43,0.73,1.0,0.78,0.85,0.2194961011409759,0.52925
9BUN,0.38283,0.76,0.87,0.0,0.78,0.55,0.33,0.5,0.6,0.75,0.44,0.65,0.3159395158290863,0.44394
9DE6,0.26276,0.38,0.0,,0.58,0.34,0.2,0.27,0.39,0.48,0.21,0.46,0.2352876365184784,0.56282
9DE7,0.44777,0.88,0.93,,0.87,0.46,0.18,0.26,0.44,0.95,0.73,0.75,0.2579052746295929,0.52481
9ECQ,0.50386,0.92,1.0,,0.88,0.9,0.71,0.88,1.0,1.0,0.76,0.84,0.0425940863788127,0.49711
9ECR,0.37967,0.73,0.73,,0.73,0.67,0.38,0.56,0.75,1.0,0.66,0.75,0.0431876964867115,0.53781
9EOW,0.20014,0.85,1.0,,0.79,0.32,0.21,0.28,0.34,0.45,0.56,0.84,0.2291102260351181,0.30813
9EWW,0.26513,0.68,0.72,0.0,0.72,0.2,0.13,0.15,0.18,0.34,0.39,0.46,0.1722677052021026,0.35472
9FM4,0.2416,0.78,0.94,,0.72,0.68,0.32,0.56,0.84,1.0,0.64,0.79,0.183266744017601,0.33679
9FO8,0.23082,0.76,1.0,,0.65,0.62,0.34,0.48,0.69,0.97,0.63,0.74,0.2482559084892273,0.29635
9FO9,0.24704,0.76,0.93,,0.71,0.55,0.3,0.42,0.55,0.94,0.63,0.78,0.2599439322948456,0.31832
9G7C,0.22116,0.66,0.68,0.12,0.67,0.15,0.08,0.12,0.19,0.21,0.33,0.48,0.1807842403650283,0.33574
9IO0,0.24801,0.9,1.0,,0.89,0.54,0.21,0.37,0.68,0.9,0.81,0.9,0.0378300510346889,0.32854
9IO1,0.21158,0.74,1.0,,0.63,0.53,0.21,0.42,0.58,0.9,0.75,0.82,0.0359272845089435,0.29487
9IOR,0.2393,0.82,1.0,,0.76,0.53,0.26,0.37,0.58,0.9,0.8,0.92,0.0356826744973659,0.28137
9IOS,0.22048,0.87,1.0,,0.84,0.51,0.32,0.37,0.53,0.84,0.74,0.83,0.037266556173563,0.29224
9IOU,0.17086,0.8,1.0,0.0,0.76,0.51,0.26,0.32,0.58,0.9,0.77,0.83,0.0373284332454204,0.2967
R1205,0.25182,0.57,0.57,0.0,0.63,0.38,0.29,0.36,0.4,0.47,0.37,0.51,0.1884872168302536,0.39456
R1209,0.30327,0.8,0.87,0.0,0.79,0.33,0.19,0.28,0.38,0.49,0.47,0.61,0.2239873111248016,0.36336
R1211,0.41407,0.88,0.97,0.0,0.85,0.44,0.19,0.38,0.53,0.64,0.59,0.67,0.2465029805898666,0.45016
R1212,0.239,0.26,0.0,0.0,0.38,0.21,0.14,0.2,0.24,0.28,0.42,0.56,0.2749227583408355,0.40192
R1248,0.22022,0.38,0.0,0.0,0.55,0.05,0.03,0.04,0.06,0.1,0.0,0.18,0.1559751778841018,0.33243
R1263,0.49274,0.92,1.0,1.0,0.89,0.62,0.31,0.5,0.72,0.94,0.55,0.8,0.2618155777454376,0.92993
R1271,0.72539,0.82,0.91,1.0,0.77,0.76,0.38,0.73,0.94,0.99,0.57,0.8,0.4701770842075348,0.71314
R1288,0.30832,0.68,0.68,0.41,0.7,0.49,0.24,0.33,0.53,0.86,0.62,0.64,0.2493149787187576,0.3882
R1293,0.36727,0.76,0.85,0.22,0.76,0.44,0.2,0.32,0.45,0.78,0.48,0.66,0.2819055318832397,0.46122
R1296,0.29787,0.83,0.97,0.0,0.79,0.35,0.21,0.29,0.43,0.47,0.57,0.68,0.244276151061058,0.42628
