PDB_ID,TM-scoreRNA,INF-ALL,INF-WC,INF-NWC,INF-STACK,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lddt,C-lddt,TM_ScoreMAX
8TVZ,0.11467,0.0,0.0,0.0,0.0,0.02,0.01,0.01,0.02,0.05,0.0,0.07,0.32543
8UPT,0.46457,0.68,0.74,0.0,0.71,0.13,0.07,0.1,0.14,0.21,0.6,0.62,0.63427
8UTG,0.09691,0.3,,,0.44,0.33,0.19,0.29,0.33,0.52,0.21,0.3,0.26499
8UYG,0.34361,0.66,0.77,0.0,0.64,0.25,0.09,0.18,0.3,0.42,,,0.40504
8UYM,0.32686,0.74,0.77,0.0,0.74,0.26,0.1,0.22,0.32,0.4,,,0.42196
8UYP,0.32979,0.75,0.85,0.0,0.73,0.26,0.1,0.18,0.32,0.44,,,0.46527
8V1H,0.49749,0.33,0.04,0.0,0.48,0.18,0.11,0.18,0.2,0.24,0.62,0.65,0.49654
8V1I,0.40787,0.35,0.0,0.0,0.54,0.59,0.2,0.42,0.75,1.0,0.6,0.63,0.54171
8VCI,0.27583,0.73,0.81,0.0,0.71,0.25,0.08,0.15,0.27,0.51,0.55,0.6,0.3852
8VT5,0.48161,0.81,0.96,0.5,0.74,0.64,0.2,0.46,0.88,1.0,0.67,0.73,0.5276
8XZL,0.25009,0.73,0.92,0.0,0.71,0.43,0.17,0.29,0.5,0.77,0.54,0.57,0.45627
8ZAU,0.5033,0.74,0.98,0.0,0.69,0.6,0.19,0.44,0.76,1.0,0.61,0.68,0.41859
9BLM,0.47366,0.68,0.68,0.0,0.7,0.55,0.16,0.34,0.78,0.92,0.58,0.64,0.52925
9BUN,0.29476,0.61,0.79,0.0,0.58,0.43,0.17,0.33,0.54,0.67,0.46,0.51,0.44394
9DE6,0.35804,0.87,0.96,,0.83,0.36,0.12,0.23,0.36,0.73,0.64,0.65,0.56282
9DE7,0.39677,0.84,0.93,1.0,0.8,0.38,0.12,0.23,0.35,0.82,0.63,0.62,0.52481
9ECQ,0.24676,0.78,0.84,,0.78,0.76,0.41,0.76,0.88,1.0,0.68,0.72,0.49711
9ECR,0.27964,0.67,0.82,,0.64,0.69,0.38,0.56,0.81,1.0,0.62,0.67,0.53781
9EOW,0.17013,0.75,0.96,,0.66,0.3,0.17,0.28,0.34,0.41,0.72,0.79,0.30813
9EWW,0.14388,0.26,,0.0,0.36,0.13,0.08,0.12,0.15,0.19,0.0,0.24,0.35472
9FM4,0.16578,0.8,1.0,,0.69,0.62,0.2,0.52,0.8,0.96,0.64,0.72,0.33679
9FO8,0.17154,0.8,1.0,,0.69,0.59,0.24,0.41,0.76,0.93,0.64,0.73,0.29635
9FO9,0.21836,0.75,0.93,,0.68,0.57,0.24,0.46,0.58,1.0,0.66,0.71,0.31832
9G7C,0.25365,0.6,0.68,0.0,0.64,0.16,0.06,0.12,0.2,0.26,0.42,0.46,0.33574
9IO0,0.16545,0.79,1.0,,0.7,0.58,0.32,0.37,0.74,0.9,0.7,0.82,0.32854
9IO1,0.16813,0.74,1.0,,0.59,0.47,0.26,0.37,0.47,0.79,0.66,0.76,0.29487
9IOR,0.16596,0.73,1.0,,0.59,0.51,0.21,0.37,0.63,0.84,0.68,0.8,0.28137
9IOS,0.12374,0.65,0.93,,0.52,0.42,0.21,0.32,0.47,0.68,0.6,0.63,0.29224
9IOU,0.15022,0.79,1.0,,0.67,0.41,0.21,0.32,0.47,0.63,0.68,0.79,0.2967
R1205,0.24638,0.46,0.41,0.0,0.56,0.31,0.13,0.27,0.36,0.47,0.33,0.38,0.39456
R1209,0.23844,0.76,0.87,0.0,0.73,0.3,0.15,0.25,0.36,0.43,0.54,0.54,0.36336
R1211,0.30872,0.77,0.87,0.0,0.74,0.29,0.14,0.3,0.34,0.39,0.53,0.52,0.45016
R1212,0.26621,0.22,0.0,0.0,0.34,0.21,0.1,0.2,0.26,0.28,0.41,0.44,0.40192
R1248,0.27824,0.32,0.0,0.0,0.49,0.06,0.03,0.05,0.07,0.08,0.15,0.2,0.33243
R1263,0.48397,0.86,0.93,0.0,0.86,0.58,0.17,0.47,0.73,0.95,0.62,0.65,0.92993
R1271,0.57549,0.72,0.89,0.2,0.71,0.62,0.18,0.48,0.86,0.97,0.57,0.62,0.71314
R1288,0.25044,0.65,0.65,0.29,0.7,0.49,0.22,0.35,0.53,0.86,0.55,0.58,0.3882
R1293,0.23932,0.6,0.61,0.2,0.64,0.24,0.1,0.22,0.28,0.38,0.46,0.5,0.46122
R1296,0.29936,0.74,0.83,0.0,0.71,0.3,0.15,0.26,0.36,0.43,0.55,0.57,0.42628
