PDB_ID,Total_DockQ_Score,DockQ_Score,F1_Score,Native_chains,Model_chains,Type,Model_ID,TM_Score,ptm,iptm
7YGN,0.701,0.701,0.744,"A, B","A, B","protein, rna",m_7YGN,0.88534,0.84,0.78
8D49,0.234,0.234,0.476,"A, B","A, B","protein, rna",m_8D49,0.54303,0.73,0.85
8D4B,0.213,0.082,0.149,"A, C","B, A","protein, rna",m_8D4B,0.49322,0.64,0.51
8D4B,0.213,0.194,0.419,"A, B","B, C","protein, rna",m_8D4B,0.49322,0.64,0.51
8D4B,0.213,0.362,0.908,"B, C","C, A","rna, rna",m_8D4B,0.49322,0.64,0.51
8D71,0.854,0.854,0.907,"A, B","A, B","protein, rna",m_8D71,0.95872,0.92,0.9
8E29,0.424,0.424,0.733,"A, B","A, B","protein, rna",m_8E29,0.92924,0.79,0.79
8E2A,0.066,0.066,0.079,"A, B","B, A","protein, rna",m_8E2A,0.68504,0.75,0.7
8EYU,0.007,0.007,0.0,"B, A","A, B","rna, rna",m_8EYU,0.19488,0.19,0.08
8FTI,0.007,0.007,0.0,"A, B","A, B","protein, rna",m_8FTI,0.31473,0.55,0.2
8HBA,0.013,0.013,0.0,"A, B","A, B","rna, rna",m_8HBA,0.20669,0.24,0.18
8HZJ,0.037,0.037,0.038,"A, B","B, A","rna, rna",m_8HZJ,0.16405,0.18,0.14
8HZL,0.02,0.02,0.0,"A, B","B, A","rna, rna",m_8HZL,0.08681,0.18,0.05
8ID2,0.301,0.121,0.152,"A, C","B, D","protein, rna",m_8ID2,0.40966,0.35,0.09
8ID2,0.301,0.121,0.16,"B, D","A, C","protein, rna",m_8ID2,0.40966,0.35,0.09
8ID2,0.301,0.661,1.0,"C, D","D, C","rna, rna",m_8ID2,0.40966,0.35,0.09
8K0P,0.001,0.001,0.0,"A, C","B, A","rna, rna",m_8K0P,0.06605,0.14,0.13
8K34,0.624,0.335,0.0,"A, C","A, C","protein, rna",m_8K34,0.94012,0.91,0.9
8K34,0.624,0.682,0.789,"A, B","A, B","protein, protein",m_8K34,0.94012,0.91,0.9
8K34,0.624,0.856,0.795,"B, C","B, C","protein, rna",m_8K34,0.94012,0.91,0.9
8KGF,0.594,0.594,0.774,"A, G","A, B","protein, rna",m_8KGF,0.71178,0.81,0.92
8KI8,0.106,0.106,0.03,"A, E","B, A","protein, rna",m_8KI8,0.78103,0.81,0.63
8SA3,0.002,0.002,0.0,"A, B","B, A","rna, rna",m_8SA3,0.32781,0.52,0.4
8SJ7,0.769,0.769,0.905,"A, B","A, B","protein, rna",m_8SJ7,0.97207,0.86,0.95
8SXL,0.965,0.965,1.0,"A, B","B, A","rna, rna",m_8SXL,0.99136,0.37,0.36
8THQ,0.695,0.389,0.0,"A, S","A, D","protein, rna",m_8THQ,0.79267,0.79,0.74
8THQ,0.695,0.651,0.778,"A, R","A, C","protein, rna",m_8THQ,0.79267,0.79,0.74
8THQ,0.695,0.771,0.867,"R, S","C, D","rna, rna",m_8THQ,0.79267,0.79,0.74
8THQ,0.695,0.815,0.889,"R, B","C, B","rna, protein",m_8THQ,0.79267,0.79,0.74
8THQ,0.695,0.852,0.838,"S, B","D, B","rna, protein",m_8THQ,0.79267,0.79,0.74
8TQX,0.809,0.809,0.97,"A, D","B, A","rna, rna",m_8TQX,0.93088,0.48,0.47
8TSV,0.513,0.513,0.961,"C, D","A, B","rna, rna",m_8TSV,0.69843,0.38,0.37
8UD4,0.655,0.019,0.0,"B, G","D, G","protein, rna",m_8UD4,0.96755,0.88,0.87
8UD4,0.655,0.019,0.0,"B, H","D, H","protein, rna",m_8UD4,0.96755,0.88,0.87
8UD4,0.655,0.02,0.0,"A, H","F, H","protein, rna",m_8UD4,0.96755,0.88,0.87
8UD4,0.655,0.021,0.0,"A, G","F, G","protein, rna",m_8UD4,0.96755,0.88,0.87
8UD4,0.655,0.637,0.0,"D, A","C, F","protein, protein",m_8UD4,0.96755,0.88,0.87
8UD4,0.655,0.703,0.667,"E, A","B, F","protein, protein",m_8UD4,0.96755,0.88,0.87
8UD4,0.655,0.703,0.667,"F, B","A, D","protein, protein",m_8UD4,0.96755,0.88,0.87
8UD4,0.655,0.704,0.667,"D, C","C, E","protein, protein",m_8UD4,0.96755,0.88,0.87
8UD4,0.655,0.732,0.937,"G, H","G, H","rna, rna",m_8UD4,0.96755,0.88,0.87
8UD4,0.655,0.889,0.834,"D, E","C, B","protein, protein",m_8UD4,0.96755,0.88,0.87
8UD4,0.655,0.897,0.847,"F, E","A, B","protein, protein",m_8UD4,0.96755,0.88,0.87
8UD4,0.655,0.906,0.861,"B, A","D, F","protein, protein",m_8UD4,0.96755,0.88,0.87
8UD4,0.655,0.907,0.87,"B, C","D, E","protein, protein",m_8UD4,0.96755,0.88,0.87
8UD4,0.655,0.908,0.843,"F, D","A, C","protein, protein",m_8UD4,0.96755,0.88,0.87
8UD4,0.655,0.922,0.89,"A, C","F, E","protein, protein",m_8UD4,0.96755,0.88,0.87
8UD4,0.655,0.924,0.889,"D, B","C, D","protein, protein",m_8UD4,0.96755,0.88,0.87
8UD4,0.655,0.926,0.922,"E, C","B, E","protein, protein",m_8UD4,0.96755,0.88,0.87
8UD4,0.655,0.949,0.903,"F, A","A, F","protein, protein",m_8UD4,0.96755,0.88,0.87
8UO6,0.016,0.016,0.0,"A, B","A, B","rna, rna",m_8UO6,0.38108,0.36,0.23
8WCS,0.02,0.02,0.02,"A, G","A, B","protein, rna",m_8WCS,0.26671,0.44,0.3
8WU5,0.476,0.476,0.896,"A, B","B, A","rna, rna",m_8WU5,0.73022,0.35,0.33
8X1V,0.186,0.186,0.366,"A, B","B, A","rna, rna",m_8X1V,0.33313,0.12,0.09
9CPI,0.635,0.635,0.941,"A, B","B, A","rna, rna",m_9CPI,0.58438,0.25,0.23
M1209,0.489,0.345,0.921,"A, 0","A, C","protein, rna",m_M1209,0.57754,0.8,0.78
M1209,0.489,0.525,0.8,"B, 0","B, C","protein, rna",m_M1209,0.57754,0.8,0.78
M1209,0.489,0.597,0.928,"A, B","A, B","protein, protein",m_M1209,0.57754,0.8,0.78
M1211,0.023,0.008,0.0,"A, 0","B, C","protein, rna",m_M1211,0.47473,0.84,0.81
M1211,0.023,0.027,0.0,"A, B","B, A","protein, protein",m_M1211,0.47473,0.84,0.81
M1211,0.023,0.033,0.051,"B, 0","A, C","protein, rna",m_M1211,0.47473,0.84,0.81
M1282,0.03,0.03,0.044,"1, B","A, B","rna, protein",m_M1282,0.79354,0.72,0.17
M1293,0.639,0.524,0.889,"B, 1","B, C","protein, rna",m_M1293,0.8597,0.81,0.8
M1293,0.639,0.532,0.779,"A, 1","A, C","protein, rna",m_M1293,0.8597,0.81,0.8
M1293,0.639,0.86,0.851,"A, B","A, B","protein, protein",m_M1293,0.8597,0.81,0.8
M1296,0.625,0.505,0.667,"B, 0","B, C","protein, rna",m_M1296,0.84964,0.81,0.78
M1296,0.625,0.558,0.903,"A, 0","A, C","protein, rna",m_M1296,0.84964,0.81,0.78
M1296,0.625,0.813,0.867,"A, B","A, B","protein, protein",m_M1296,0.84964,0.81,0.78
R1252o,0.002,0.001,0.0,"0, 3","E, C","rna, rna",m_R1252o,0.03607,0.23,0.21
R1252o,0.002,0.001,0.0,"0, 5","E, F","rna, rna",m_R1252o,0.03607,0.23,0.21
R1252o,0.002,0.001,0.0,"1, 5","D, F","rna, rna",m_R1252o,0.03607,0.23,0.21
R1252o,0.002,0.001,0.0,"2, 3","A, C","rna, rna",m_R1252o,0.03607,0.23,0.21
R1252o,0.002,0.001,0.0,"3, 4","C, B","rna, rna",m_R1252o,0.03607,0.23,0.21
R1252o,0.002,0.002,0.0,"0, 1","E, D","rna, rna",m_R1252o,0.03607,0.23,0.21
R1252o,0.002,0.002,0.0,"0, 2","E, A","rna, rna",m_R1252o,0.03607,0.23,0.21
R1252o,0.002,0.002,0.0,"2, 4","A, B","rna, rna",m_R1252o,0.03607,0.23,0.21
R1252o,0.002,0.003,0.0,"1, 2","D, A","rna, rna",m_R1252o,0.03607,0.23,0.21
R1252o,0.002,0.003,0.0,"4, 5","B, F","rna, rna",m_R1252o,0.03607,0.23,0.21
R1252o,0.002,0.004,0.0,"3, 5","C, F","rna, rna",m_R1252o,0.03607,0.23,0.21
R1252o,0.002,0.005,0.0,"1, 4","D, B","rna, rna",m_R1252o,0.03607,0.23,0.21
R1281o,0.001,0.001,0.0,"0, 1","A, B","rna, rna",m_R1281o,0.0783,0.18,0.15
R1285o,0.002,0.002,0.0,"0, 1","B, A","rna, rna",m_R1285o,0.16046,0.22,0.2
