PDB_ID,Model_ID,TM_Score
8WA4,8WA4_0,0.90549
8WA4,8WA4_1,0.88685
8QO4,8QO4_4,0.44699
8QO4,8QO4_3,0.41210
8QO4,8QO4_0,0.41415
8QO4,8QO4_1,0.44506
8QO4,8QO4_2,0.44027
8BTZ,8BTZ_3,0.18039
8BTZ,8BTZ_0,0.17503
8BTZ,8BTZ_2,0.18920
8BTZ,8BTZ_4,0.18880
8BTZ,8BTZ_1,0.19315
7UMD,7UMD_0,0.67555
7UMD,7UMD_2,0.72651
7UMD,7UMD_3,0.58569
7UMD,7UMD_1,0.63082
7UMD,7UMD_4,0.69013
8K15,8K15_0,0.14128
8K15,8K15_2,0.13872
8K15,8K15_1,0.14484
8K15,8K15_3,0.13756
8K15,8K15_4,0.18873
R1261v1,R1261v1_1,0.85931
R1261v1,R1261v1_4,0.86145
R1261v1,R1261v1_3,0.83173
R1261v1,R1261v1_0,0.82607
R1261v1,R1261v1_2,0.77967
8UPT,8UPT_0,0.83108
8UPT,8UPT_1,0.80688
8UPT,8UPT_3,0.79340
8UPT,8UPT_4,0.83798
8UPT,8UPT_2,0.74880
8V1H,8V1H_0,0.81073
8V1H,8V1H_1,0.83222
8V1H,8V1H_3,0.85211
8V1H,8V1H_4,0.84951
8V1H,8V1H_2,0.84241
8ITS,8ITS_0,0.38330
8ITS,8ITS_1,0.41166
8ITS,8ITS_4,0.39972
8ITS,8ITS_3,0.38039
8ITS,8ITS_2,0.38424
R1255,R1255_2,0.39505
R1255,R1255_0,0.40753
R1255,R1255_3,0.40403
R1255,R1255_1,0.41116
R1255,R1255_4,0.44131
8TJU,8TJU_3,0.29894
8TJU,8TJU_4,0.29279
8TJU,8TJU_0,0.25535
8TJU,8TJU_1,0.29108
8TJU,8TJU_2,0.30218
7SHX,7SHX_2,0.29227
7SHX,7SHX_3,0.31429
7SHX,7SHX_1,0.26979
7SHX,7SHX_0,0.34243
7SHX,7SHX_4,0.29682
8VCI,8VCI_1,0.38400
8VCI,8VCI_3,0.40720
8VCI,8VCI_4,0.43592
8VCI,8VCI_0,0.40205
8VCI,8VCI_2,0.39041
R1285,R1285_0,0.26074
R1285,R1285_1,0.20978
R1285,R1285_4,0.25831
R1285,R1285_2,0.21859
R1285,R1285_3,0.24714
7UGA,7UGA_2,0.55067
7UGA,7UGA_1,0.57588
7UGA,7UGA_3,0.53256
7UGA,7UGA_0,0.53269
7UGA,7UGA_4,0.52452
R1271,R1271_4,0.85397
R1271,R1271_3,0.86481
R1271,R1271_0,0.85563
R1271,R1271_2,0.85683
R1271,R1271_1,0.85870
7V06,7V06_1,0.76171
7V06,7V06_4,0.67268
7V06,7V06_3,0.73243
7V06,7V06_0,0.68359
7V06,7V06_2,0.76013
R1293,R1293_1,0.55365
R1293,R1293_3,0.49489
R1293,R1293_2,0.47267
R1293,R1293_0,0.51067
R1293,R1293_4,0.49640
8XZL,8XZL_4,0.50406
8XZL,8XZL_0,0.66864
8XZL,8XZL_1,0.64574
8XZL,8XZL_3,0.53721
8XZL,8XZL_2,0.57296
8EDP,8EDP_0,0.36402
8EDP,8EDP_1,0.35015
8EDP,8EDP_2,0.69403
8EDP,8EDP_4,0.60637
8EDP,8EDP_3,0.58909
8Q4O,8Q4O_2,0.53958
8Q4O,8Q4O_0,0.45698
8Q4O,8Q4O_1,0.51549
8Q4O,8Q4O_4,0.48537
8Q4O,8Q4O_3,0.41539
8BM6,8BM6_4,0.59395
8BM6,8BM6_1,0.60803
8BM6,8BM6_3,0.57843
8BM6,8BM6_2,0.62827
8BM6,8BM6_0,0.58138
R1253v2,R1253v2_4,0.11321
R1253v2,R1253v2_3,0.12613
R1253v2,R1253v2_2,0.14717
R1253v2,R1253v2_1,0.09103
R1253v2,R1253v2_0,0.09508
7UME,7UME_2,0.81785
7UME,7UME_4,0.81896
7UME,7UME_1,0.83390
7UME,7UME_0,0.82925
7UME,7UME_3,0.83270
R1242,R1242_0,0.20161
R1242,R1242_1,0.22245
R1242,R1242_3,0.24851
R1242,R1242_2,0.20077
R1242,R1242_4,0.19533
8TNS,8TNS_4,0.45192
8TNS,8TNS_1,0.41225
8TNS,8TNS_0,0.42843
8TNS,8TNS_3,0.38328
8TNS,8TNS_2,0.44684
8SCH,8SCH_1,0.44628
8SCH,8SCH_4,0.47008
8SCH,8SCH_2,0.44014
8SCH,8SCH_0,0.46923
8SCH,8SCH_3,0.47449
9BUN,9BUN_3,0.59712
9BUN,9BUN_4,0.57884
9BUN,9BUN_1,0.58617
9BUN,9BUN_2,0.57095
9BUN,9BUN_0,0.58649
R1250,R1250_1,0.11272
R1250,R1250_2,0.08948
R1250,R1250_4,0.10915
R1250,R1250_0,0.10269
R1250,R1250_3,0.11705
8BWT,8BWT_1,0.66002
8BWT,8BWT_3,0.71037
8BWT,8BWT_0,0.72836
8BWT,8BWT_2,0.76221
8BWT,8BWT_4,0.74072
R1252,R1252_3,0.10841
R1252,R1252_0,0.11708
R1252,R1252_2,0.11279
R1252,R1252_1,0.10735
R1252,R1252_4,0.10603
R1203,R1203_0,0.53029
R1203,R1203_2,0.60849
R1203,R1203_4,0.63618
R1203,R1203_3,0.52390
R1203,R1203_1,0.57386
R1251,R1251_2,0.09931
R1251,R1251_3,0.07956
R1251,R1251_4,0.08365
R1251,R1251_0,0.09368
R1251,R1251_1,0.07679
8QO3,8QO3_0,0.44775
8QO3,8QO3_4,0.44961
8QO3,8QO3_3,0.45322
8QO3,8QO3_1,0.44142
8QO3,8QO3_2,0.44858
R1283v1,R1283v1_0,0.13614
R1283v1,R1283v1_4,0.13714
R1283v1,R1283v1_3,0.13602
R1283v1,R1283v1_2,0.13925
R1283v1,R1283v1_1,0.15829
R1264,R1264_3,0.67579
R1264,R1264v1_3,0.63412
R1264,R1264_1,0.65795
R1264,R1264v1_4,0.65415
R1264,R1264v1_1,0.64797
R1264,R1264_0,0.61317
R1264,R1264v1_0,0.63436
R1264,R1264_2,0.60967
R1264,R1264_4,0.62509
R1264,R1264v1_2,0.68391
8I44,8I44_3,0.53880
8I44,8I44_0,0.54529
8I44,8I44_2,0.53684
8I44,8I44_1,0.54257
8I44,8I44_4,0.53651
R1212,R1212_1,0.28231
R1212,R1212_4,0.23945
R1212,R1212_3,0.28995
R1212,R1212_0,0.26138
R1212,R1212_2,0.31212
R1256,R1256_0,0.35387
R1256,R1256_1,0.30681
R1256,R1256_3,0.35190
R1256,R1256_2,0.30016
R1256,R1256_4,0.32227
R1281,R1281_4,0.09708
R1281,R1281_1,0.13163
R1281,R1281_2,0.12806
R1281,R1281_0,0.14232
R1281,R1281_3,0.12643
8CQ1,8CQ1_0,0.82784
8CQ1,8CQ1_3,0.82819
8CQ1,8CQ1_1,0.78720
8CQ1,8CQ1_2,0.79887
8CQ1,8CQ1_4,0.80192
8JHP,8JHP_0,0.64512
8JHP,8JHP_1,0.67455
8JHP,8JHP_3,0.66049
8JHP,8JHP_4,0.70039
8JHP,8JHP_2,0.66119
8SP9,8SP9_4,0.64022
8SP9,8SP9_0,0.66153
8SP9,8SP9_2,0.64059
8SP9,8SP9_1,0.59931
8SP9,8SP9_3,0.57501
7UCR,7UCR_3,0.99071
7UCR,7UCR_4,0.99750
7UCR,7UCR_2,0.99314
7UCR,7UCR_0,0.99276
7UCR,7UCR_1,0.99625
8BU8,8BU8_2,0.28691
8BU8,8BU8_4,0.32359
8BU8,8BU8_1,0.32575
8BU8,8BU8_3,0.20159
8BU8,8BU8_0,0.27543
R1254,R1254_3,0.12301
R1254,R1254_4,0.13610
R1254,R1254_0,0.13189
R1254,R1254_1,0.14519
R1254,R1254_2,0.15127
R1286,R1286_1,0.11554
R1286,R1286_3,0.11358
R1286,R1286_0,0.10757
R1286,R1286_4,0.10456
R1286,R1286_2,0.10562
R1211,R1211_3,0.51164
R1211,R1211_2,0.51124
R1211,R1211_4,0.54238
R1211,R1211_1,0.52665
R1211,R1211_0,0.49332
8FCS,8FCS_2,0.78752
8FCS,8FCS_1,0.78784
8FCS,8FCS_4,0.76364
8FCS,8FCS_0,0.79684
8FCS,8FCS_3,0.81059
8VT5,8VT5_3,0.85192
8VT5,8VT5_2,0.88356
8VT5,8VT5_4,0.88148
8VT5,8VT5_0,0.89288
8VT5,8VT5_1,0.87887
