ID,ranking_score
7YG6_3,0.7344
7YG6_4,0.733
7VSJ_1,0.8223
7VSJ_2,0.808
7VSJ_3,0.815
7VSJ_4,0.8315
M1224_1,0.5527
M1224_2,0.5537
M1224_3,0.5527
M1224_4,0.5547
8SJ7_1,0.7876
8SJ7_2,0.793
8SJ7_3,0.789
8SJ7_4,0.791
8WCS_1,0.1818
8WCS_2,0.1774
8WCS_3,0.179
8WCS_4,0.1825
M0268_1,0.6265
M0268_2,0.6245
M0268_3,0.6304
M0268_4,0.6255
8E28_1,0.7266
8E28_2,0.7227
8E28_3,0.726
8E28_4,0.722
7YEX_1,0.811
7YEX_2,0.8276
7YEX_3,0.8276
7YEX_4,0.8228
9CPI_1,0.931
9CPI_2,0.931
9CPI_3,0.931
9CPI_4,0.931
8TSV_1,0.9053
8TSV_2,0.9053
8TSV_3,0.9053
8TSV_4,0.9053
8TSV_5,0.9053
M1296_1,0.77
M1296_2,0.768
M1296_3,0.7676
M1296_4,0.768
M1287_1,0.7524
M1287_2,0.741
M1287_3,0.7495
M1287_4,0.746
8UD5_1,0.7925
8UD5_2,0.791
8UD5_3,0.793
8UD5_4,0.798
8KGF_1,0.3315
8KGF_2,0.1598
8KGF_3,0.2439
8KGF_4,0.2449
8VAJ_1,0.7217
8VAJ_2,0.7188
8VAJ_3,0.718
8VAJ_4,0.727
8HBA_1,0.776
8HBA_2,0.7827
8HBA_3,0.7793
8HBA_4,0.777
R1285o_1,0.276
R1285o_2,0.2368
R1285o_3,0.243
R1285o_4,0.2389
R1285o_5,0.2388
8TDZ_1,0.993
8TDZ_2,0.993
8TDZ_3,0.993
8TDZ_4,0.993
8X1V_1,0.6255
8X1V_2,0.6255
8X1V_3,0.6255
8X1V_4,0.6245
7VTN_1,0.2585
7VTN_2,0.2617
7VTN_3,0.2512
7VTN_4,0.2534
8SA3_1,0.7637
8SA3_2,0.7637
8SA3_3,0.764
8SA3_4,0.764
8E2A_1,0.7275
8E2A_2,0.7314
8E2A_3,0.73
8E2A_4,0.7314
M1297_1,0.179
M1297_2,0.2715
M1297_3,0.2349
M1297_4,0.4045
7TZR_1,0.8364
7TZR_2,0.8364
7TZR_3,0.8364
7TZR_4,0.837
7UIM_1,0.383
7UIM_2,0.3826
7UIM_3,0.3872
7UIM_4,0.386
M0287_1,0.74
M0287_2,0.741
M0287_3,0.7407
M0287_4,0.75
8K0P_1,0.167
8K0P_2,0.167
8K0P_3,0.167
8K0P_4,0.167
8E4X_1,0.75
8E4X_2,0.7563
8E4X_3,0.7544
8E4X_4,0.7534
M1282_1,0.731
M1282_2,0.733
M1282_3,0.728
M1282_4,0.7305
7VKL_1,0.8145
7VKL_2,0.8115
7VKL_3,0.8125
7VKL_4,0.8174
M0276_1,0.7334
M0276_2,0.729
M0276_3,0.7314
M0276_4,0.735
7XKM_1,0.867
7XKM_2,0.867
7XKM_3,0.867
7XKM_4,0.867
7XKM_5,0.867
M1268_1,0.6313
M1268_2,0.6313
M1268_3,0.632
M1268_4,0.63
8WU5_1,0.9644
8WU5_2,0.9644
8WU5_3,0.9644
8WU5_4,0.9644
8HZL_1,0.623
8HZL_2,0.62
8HZL_3,0.63
8HZL_4,0.619
M1271_1,0.2466
M1271_2,0.2893
M1271_3,0.2466
M1271_4,0.2388
8UD4_1,0.795
8UD4_2,0.7905
8UD4_3,0.7925
8UD4_4,0.794
8UO6_1,0.6724
8UO6_2,0.673
8UO6_3,0.672
8UO6_4,0.673
8FTI_1,0.263
8FTI_2,0.269
8FTI_3,0.2727
8FTI_4,0.2734
7YFQ_1,0.7437
7YFQ_2,0.7393
7YFQ_3,0.7407
7YFQ_4,0.742
7YFY_1,0.737
7YFY_2,0.7417
7YFY_3,0.7407
7YFY_4,0.74
7VTI_1,0.2993
7VTI_2,0.3005
7VTI_3,0.3035
7VTI_4,0.3
8EYU_1,0.7656
8EYU_2,0.765
8EYU_3,0.765
8EYU_4,0.765
8D71_1,0.7695
8D71_2,0.7705
8D71_3,0.77
8D71_4,0.772
8E29_1,0.697
8E29_2,0.6943
8E29_3,0.695
8E29_4,0.6934
M1211_1,0.709
M1211_2,0.7046
M1211_3,0.707
M1211_4,0.705
M1211_5,0.7095
8TQX_1,0.9497
8TQX_2,0.9497
8TQX_3,0.9497
8TQX_4,0.9497
M1212_1,0.55
M1212_2,0.537
M1212_3,0.544
M1212_4,0.549
M1212_5,0.545
8THQ_1,0.8403
8THQ_2,0.838
8THQ_3,0.8374
8THQ_4,0.8374
7YEY_1,0.7974
7YEY_2,0.8
7YEY_3,0.799
7YEY_4,0.8013
M1293_1,0.7563
M1293_2,0.7554
M1293_3,0.754
M1293_4,0.7563
M1216_1,0.628
M1216_2,0.6294
M1216_3,0.6294
M1216_4,0.6274
M1221_1,0.5547
M1221_2,0.5566
M1221_3,0.5576
M1221_4,0.5527
7YGN_1,0.7397
7YGN_2,0.745
7YGN_3,0.7417
7YGN_4,0.746
8GS2_1,0.3135
8GS2_2,0.227
8GS2_3,0.2979
8GS2_4,0.4324
R0252_1,0.375
R0252_2,0.375
R0252_3,0.3743
R0252_4,0.3738
R1211_1,0.841
R1211_2,0.843
R1211_3,0.844
R1211_4,0.849
R0285_1,0.467
R0285_2,0.4685
R0285_3,0.4678
R0285_4,0.4658
R1293_1,0.7817
R1293_2,0.7847
R1293_3,0.782
R1293_4,0.78
R1263_1,0.9746
R1263_2,0.9746
R1263_3,0.9746
R1263_4,0.9746
R1253v2_1,0.334
R1253v2_2,0.3367
R1253v2_3,0.3389
R1253v2_4,0.3381
R1261_1,0.853
R1261_2,0.8506
R1261_3,0.852
R1261_4,0.852
R1255_1,0.779
R1255_2,0.779
R1255_3,0.779
R1255_4,0.779
R1285_1,0.4678
R1285_2,0.4673
R1285_3,0.4653
R1285_4,0.4705
R1271_1,0.877
R1271_2,0.877
R1271_3,0.877
R1271_4,0.8765
R1221s2_1,0.633
R1221s2_2,0.6333
R1221s2_3,0.6323
R1221s2_4,0.634
R0281_1,0.541
R0281_2,0.5405
R0281_3,0.543
R0281_4,0.5415
R1252_1,0.3762
R1252_2,0.3748
R1252_3,0.376
R1252_4,0.3752
R1251_1,0.3381
R1251_2,0.34
R1251_3,0.3376
R1251_4,0.3408
R1288_1,0.9004
R1288_2,0.9004
R1288_3,0.9004
R1288_4,0.9004
R1289_1,0.6323
R1289_2,0.6323
R1289_3,0.6323
R1289_4,0.6323
R1242_1,0.638
R1242_2,0.6196
R1242_3,0.618
R1242_4,0.6196
R0254_1,0.5405
R0254_2,0.539
R0254_3,0.5396
R0254_4,0.5386
R1254_1,0.539
R1254_2,0.54
R1254_3,0.54
R1254_4,0.539
R0250_1,0.341
R0250_2,0.3389
R0250_3,0.339
R0250_4,0.341
R1261v1_1,0.8516
R1261v1_2,0.851
R1261v1_3,0.85
R1261v1_4,0.8525
R1283v3_1,0.3975
R1283v3_2,0.4014
R1283v3_3,0.4004
R1283v3_4,0.4011
R1263v1_1,0.975
R1263v1_2,0.9746
R1263v1_3,0.9746
R1263v1_4,0.9746
R1264_1,0.9746
R1264_2,0.9746
R1264_3,0.9746
R1264_4,0.9746
R1248_1,0.544
R1248_2,0.543
R1248_3,0.5435
R1248_4,0.543
R1283v1_1,0.3984
R1283v1_2,0.3948
R1283v1_3,0.397
R1283v1_4,0.4023
R1203_1,0.7676
R1203_2,0.7666
R1203_3,0.7686
R1203_4,0.7695
R1209_1,0.865
R1209_2,0.8696
R1209_3,0.865
R1209_4,0.868
R0251_1,0.3362
R0251_2,0.3374
R0251_3,0.3367
R0251_4,0.338
R1296_1,0.8804
R1296_2,0.8843
R1296_3,0.8853
R1296_4,0.8843
R1262_1,0.852
R1262_2,0.853
R1262_3,0.8506
R1262_4,0.852
R0253_1,0.3293
R0253_2,0.3333
R0253_3,0.332
R0253_4,0.3313
R1250_1,0.3396
R1250_2,0.3394
R1250_3,0.34
R1250_4,0.3418
R1256_1,0.7256
R1256_2,0.7256
R1256_3,0.727
R1256_4,0.7266
R1260_1,0.663
R1260_2,0.643
R1260_3,0.665
R1260_4,0.6465
R1241_1,0.601
R1241_2,0.601
R1241_3,0.6006
R1241_4,0.6006
R0290_1,0.5254
R0290_2,0.525
R0290_3,0.5254
R0290_4,0.5264
R0283_1,0.4001
R0283_2,0.401
R0283_3,0.3967
R0283_4,0.3892
R0271_1,0.877
R0271_2,0.8765
R0271_3,0.8765
R0271_4,0.876
R1221s3_1,0.8374
R1221s3_2,0.838
R1221s3_3,0.8384
R1221s3_4,0.8374
R1212_1,0.6416
R1212_2,0.642
R1212_3,0.642
R1212_4,0.642
R1224s3_1,0.8374
R1224s3_2,0.8384
R1224s3_3,0.836
R1224s3_4,0.837
R1283v2_1,0.4006
R1283v2_2,0.3987
R1283v2_3,0.3943
R1283v2_4,0.3977
R1281_1,0.541
R1281_2,0.539
R1281_3,0.5405
R1281_4,0.5425
R1292_1,0.601
R1292_2,0.6006
R1292_3,0.601
R1292_4,0.601
R1224s2_1,0.5547
R1224s2_2,0.554
R1224s2_3,0.5547
R1224s2_4,0.554
R1253v1_1,0.3315
R1253v1_2,0.333
R1253v1_3,0.3394
R1253v1_4,0.3318
R1205_1,0.8364
R1205_2,0.8364
R1205_3,0.8364
R1205_4,0.838
R1290_1,0.5244
R1290_2,0.525
R1290_3,0.5264
R1290_4,0.5254
R1286_1,0.3826
R1286_2,0.3816
R1286_3,0.383
R1286_4,0.3816
R1264v1_1,0.9746
R1264v1_2,0.9746
R1264v1_3,0.9746
R1264v1_4,0.9746
