PDB_ID,Total_DockQ_Score,DockQ_Score,F1_Score,Native_chains,Model_chains,Type,TM_Score,iptm,ptm
7U2A,0.586,0.5,0.667,"C, B","C, A","rna, protein",0.97064,0.8492744565010071,0.8674910664558411
7U2A,0.586,0.852,0.858,"A, B","B, A","protein, protein",0.97064,0.8492744565010071,0.8674910664558411
7UIM,0.008,0.008,0.0,"B, D","A, B","rna, protein",0.4655,0.276337206363678,0.445838451385498
7UR5,0.014,0.009,0.0,"v, w","B, A","rna, rna",0.33997,0.0533233135938644,0.2425748258829116
7UR5,0.014,0.019,0.0,"v, y","B, C","rna, rna",0.33997,0.0533233135938644,0.2425748258829116
7UU3,0.154,0.032,0.0,"A, D","D, A","protein, rna",0.52534,0.2365097999572754,0.5017266273498535
7UU3,0.154,0.04,0.0,"B, C","C, B","protein, rna",0.52534,0.2365097999572754,0.5017266273498535
7UU3,0.154,0.043,0.042,"A, C","D, B","protein, rna",0.52534,0.2365097999572754,0.5017266273498535
7UU3,0.154,0.047,0.082,"B, D","C, A","protein, rna",0.52534,0.2365097999572754,0.5017266273498535
7UU3,0.154,0.608,0.927,"C, D","B, A","rna, rna",0.52534,0.2365097999572754,0.5017266273498535
7V94,0.273,0.007,0.0,"B, C","C, B","rna, dna",0.75409,0.2455604821443557,0.6855379939079285
7V94,0.273,0.02,0.0,"A, B","D, C","protein, rna",0.75409,0.2455604821443557,0.6855379939079285
7V94,0.273,0.226,0.219,"A, C","D, B","protein, dna",0.75409,0.2455604821443557,0.6855379939079285
7V94,0.273,0.542,0.658,"A, D","D, A","protein, dna",0.75409,0.2455604821443557,0.6855379939079285
7V94,0.273,0.568,0.821,"C, D","B, A","dna, dna",0.75409,0.2455604821443557,0.6855379939079285
7XJZ,0.33,0.33,0.338,"A, B","B, A","protein, rna",0.83494,0.5385698080062866,0.7992860674858093
7YFQ,0.594,0.523,0.5,"C, A","B, C","rna, protein",0.93084,0.4512978792190552,0.8583488464355469
7YFQ,0.594,0.595,0.645,"B, A","A, C","rna, protein",0.93084,0.4512978792190552,0.8583488464355469
7YFQ,0.594,0.663,0.907,"B, C","A, B","rna, rna",0.93084,0.4512978792190552,0.8583488464355469
7YFX,0.313,0.313,0.503,"A, B","A, B","protein, rna",0.91365,0.5586116313934326,0.669113278388977
7YFY,0.528,0.379,0.394,"A, B","B, A","protein, rna",0.90134,0.6035969853401184,0.8677259683609009
7YFY,0.528,0.502,0.435,"A, C","B, C","protein, rna",0.90134,0.6035969853401184,0.8677259683609009
7YFY,0.528,0.705,0.96,"C, B","C, A","rna, rna",0.90134,0.6035969853401184,0.8677259683609009
7YG6,0.419,0.419,0.683,"B, A","A, B","rna, protein",0.93558,0.5997321009635925,0.8423252105712891
7YGN,0.723,0.723,0.727,"A, B","A, B","protein, rna",0.9208,0.833929181098938,0.8689630627632141
7YOJ,0.2,0.011,0.006,"A, B","D, C","protein, rna",0.31427,0.5258988738059998,0.5209275484085083
7YOJ,0.2,0.062,0.093,"A, C","D, A","protein, dna",0.31427,0.5258988738059998,0.5209275484085083
7YOJ,0.2,0.083,0.205,"A, D","D, B","protein, dna",0.31427,0.5258988738059998,0.5209275484085083
7YOJ,0.2,0.331,0.776,"D, B","B, C","dna, rna",0.31427,0.5258988738059998,0.5209275484085083
7YOJ,0.2,0.515,0.903,"C, D","A, B","dna, dna",0.31427,0.5258988738059998,0.5209275484085083
8AF0,0.136,0.012,0.0,"D, B","C, A","rna, protein",0.44992,0.2063809931278228,0.4655382931232452
8AF0,0.136,0.014,0.0,"C, B","D, A","rna, protein",0.44992,0.2063809931278228,0.4655382931232452
8AF0,0.136,0.018,0.0,"D, A","C, B","rna, protein",0.44992,0.2063809931278228,0.4655382931232452
8AF0,0.136,0.021,0.0,"C, A","D, B","rna, protein",0.44992,0.2063809931278228,0.4655382931232452
8AF0,0.136,0.037,0.0,"A, B","B, A","protein, protein",0.44992,0.2063809931278228,0.4655382931232452
8AF0,0.136,0.715,0.926,"C, D","D, C","rna, rna",0.44992,0.2063809931278228,0.4655382931232452
8B9K,0.041,0.041,0.043,"A, B","B, A","protein, rna",0.78386,0.7705062031745911,0.9021798968315125
8CTI,0.012,0.01,0.0,"A, B","C, A","protein, protein",0.12883,0.75791996717453,0.8163478970527649
8CTI,0.012,0.011,0.0,"B, C","A, B","protein, rna",0.12883,0.75791996717453,0.8163478970527649
8CTI,0.012,0.015,0.0,"A, C","C, B","protein, rna",0.12883,0.75791996717453,0.8163478970527649
8D9G,0.112,0.005,0.0,"A, B","D, C","protein, protein",0.59792,0.2240308374166488,0.5781192779541016
8D9G,0.112,0.011,0.0,"A, D","D, A","protein, rna",0.59792,0.2240308374166488,0.5781192779541016
8D9G,0.112,0.09,0.058,"B, D","C, A","protein, rna",0.59792,0.2240308374166488,0.5781192779541016
8D9G,0.112,0.15,0.136,"B, C","C, B","protein, rna",0.59792,0.2240308374166488,0.5781192779541016
8D9G,0.112,0.304,0.63,"C, D","B, A","rna, rna",0.59792,0.2240308374166488,0.5781192779541016
8DC2,0.178,0.006,0.0,"A, D","D, A","protein, dna",0.23532,0.3350340127944946,0.3529394268989563
8DC2,0.178,0.009,0.014,"A, B","D, C","protein, rna",0.23532,0.3350340127944946,0.3529394268989563
8DC2,0.178,0.014,0.012,"A, C","D, B","protein, dna",0.23532,0.3350340127944946,0.3529394268989563
8DC2,0.178,0.43,1.0,"C, D","B, A","dna, dna",0.23532,0.3350340127944946,0.3529394268989563
8DC2,0.178,0.434,0.884,"B, C","C, B","rna, dna",0.23532,0.3350340127944946,0.3529394268989563
8DMB,0.202,0.009,0.0,"P, Y","D, A","protein, dna",0.55588,0.1937802582979202,0.4341306388378143
8DMB,0.202,0.012,0.009,"P, W","D, C","protein, rna",0.55588,0.1937802582979202,0.4341306388378143
8DMB,0.202,0.018,0.025,"P, X","D, B","protein, dna",0.55588,0.1937802582979202,0.4341306388378143
8DMB,0.202,0.276,0.758,"W, X","C, B","rna, dna",0.55588,0.1937802582979202,0.4341306388378143
8DMB,0.202,0.696,0.982,"X, Y","B, A","dna, dna",0.55588,0.1937802582979202,0.4341306388378143
8DVR,0.056,0.056,0.028,"A, B","B, A","protein, rna",0.92154,0.257481038570404,0.671244204044342
8DVS,0.145,0.145,0.406,"A, B","B, A","protein, rna",0.95852,0.5010365843772888,0.6848835945129395
8E28,0.381,0.381,0.351,"A, C","A, B","protein, rna",0.96964,0.6109138131141663,0.8198780417442322
8E29,0.376,0.376,0.652,"A, B","A, B","protein, rna",0.95379,0.7201800346374512,0.8159170150756836
8E2A,0.326,0.326,0.653,"A, B","B, A","protein, rna",0.72989,0.5064656734466553,0.7886921167373657
8FTI,0.009,0.009,0.005,"A, B","A, B","protein, rna",0.31596,0.1473741382360458,0.4585908055305481
8GZP,0.012,0.012,0.0,"A, S","B, A","protein, rna",0.70251,0.1512975841760635,0.6907232999801636
8GZR,0.152,0.097,0.3,"A, B","C, B","protein, protein",0.53753,0.3267631828784942,0.5051925182342529
8GZR,0.152,0.15,0.3,"A, C","C, A","protein, rna",0.53753,0.3267631828784942,0.5051925182342529
8GZR,0.152,0.21,0.593,"B, C","B, A","protein, rna",0.53753,0.3267631828784942,0.5051925182342529
8H1B,0.206,0.008,0.0,"A, D","D, B","protein, rna",0.90471,0.902047038078308,0.9260819554328918
8H1B,0.206,0.008,0.0,"B, D","C, B","protein, rna",0.90471,0.902047038078308,0.9260819554328918
8H1B,0.206,0.042,0.0,"A, C","D, A","protein, rna",0.90471,0.902047038078308,0.9260819554328918
8H1B,0.206,0.049,0.0,"B, C","C, A","protein, rna",0.90471,0.902047038078308,0.9260819554328918
8H1B,0.206,0.921,0.931,"A, B","D, C","protein, protein",0.90471,0.902047038078308,0.9260819554328918
8H1J,0.251,0.005,0.0,"C, B","C, B","dna, rna",0.73203,0.4324541091918945,0.5532721281051636
8H1J,0.251,0.016,0.0,"A, B","D, B","protein, rna",0.73203,0.4324541091918945,0.5532721281051636
8H1J,0.251,0.053,0.08,"A, C","D, C","protein, dna",0.73203,0.4324541091918945,0.5532721281051636
8H1J,0.251,0.476,0.61,"A, D","D, A","protein, dna",0.73203,0.4324541091918945,0.5532721281051636
8H1J,0.251,0.707,0.964,"C, D","C, A","dna, dna",0.73203,0.4324541091918945,0.5532721281051636
8HB1,0.278,0.278,0.628,"A, B","B, A","rna, rna",0.26121,0.3213649690151214,0.3361651003360748
8HB3,0.2,0.2,0.475,"A, B","B, A","rna, rna",0.19766,0.3803358972072601,0.3701601922512054
8HBA,0.017,0.017,0.0,"A, B","B, A","rna, rna",0.18175,0.1416560113430023,0.1917330920696258
8HIO,0.038,0.013,0.0,"A, D","A, B","protein, protein",0.71955,0.1557905524969101,0.455760508775711
8HIO,0.038,0.046,0.069,"B, D","C, B","rna, protein",0.71955,0.1557905524969101,0.455760508775711
8HIO,0.038,0.057,0.0,"B, A","C, A","rna, protein",0.71955,0.1557905524969101,0.455760508775711
8HKE,0.29,0.016,0.028,"A, C","C, B","protein, rna",0.9099,0.6357099413871765,0.6913302540779114
8HKE,0.29,0.045,0.098,"A, D","C, A","protein, rna",0.9099,0.6357099413871765,0.6913302540779114
8HKE,0.29,0.517,0.596,"B, A","D, C","protein, protein",0.9099,0.6357099413871765,0.6913302540779114
8HKE,0.29,0.582,0.837,"C, D","B, A","rna, rna",0.9099,0.6357099413871765,0.6913302540779114
8HNT,0.008,0.007,0.0,"A, C","A, B","protein, protein",0.67264,0.2249289005994796,0.6873900294303894
8HNT,0.008,0.008,0.0,"B, C","C, B","rna, protein",0.67264,0.2249289005994796,0.6873900294303894
8HNT,0.008,0.009,0.003,"A, B","A, C","protein, rna",0.67264,0.2249289005994796,0.6873900294303894
8HNW,0.751,0.597,0.73,"A, C","D, B","protein, dna",0.95648,0.8950768113136292,0.8699653148651123
8HNW,0.751,0.634,0.79,"A, B","D, C","protein, rna",0.95648,0.8950768113136292,0.8699653148651123
8HNW,0.751,0.744,0.937,"B, C","C, B","rna, dna",0.95648,0.8950768113136292,0.8699653148651123
8HNW,0.751,0.862,0.789,"A, D","D, A","protein, dna",0.95648,0.8950768113136292,0.8699653148651123
8HNW,0.751,0.916,0.968,"C, D","B, A","dna, dna",0.95648,0.8950768113136292,0.8699653148651123
8HUD,0.698,0.594,0.597,"A, C","D, B","protein, dna",0.90837,0.9125856161117554,0.8487481474876404
8HUD,0.698,0.639,0.758,"A, B","D, C","protein, rna",0.90837,0.9125856161117554,0.8487481474876404
8HUD,0.698,0.661,0.742,"A, D","D, A","protein, dna",0.90837,0.9125856161117554,0.8487481474876404
8HUD,0.698,0.78,0.973,"B, C","C, B","rna, dna",0.90837,0.9125856161117554,0.8487481474876404
8HUD,0.698,0.817,0.952,"C, D","B, A","dna, dna",0.90837,0.9125856161117554,0.8487481474876404
8HZJ,0.04,0.04,0.029,"A, B","B, A","rna, rna",0.15663,0.1675928384065628,0.2043672949075698
8HZK,0.065,0.065,0.107,"A, B","B, A","rna, rna",0.22655,0.0436020940542221,0.1996138542890548
8HZL,0.012,0.012,0.0,"A, B","A, B","rna, rna",0.22514,0.050855990499258,0.1354634463787078
8I3Q,0.043,0.043,0.05,"C, A","B, A","rna, protein",0.80123,0.413487821817398,0.7169618010520935
8IBW,0.133,0.003,0.0,"A, C","D, B","dna, protein",0.86954,0.363206148147583,0.7314557433128357
8IBW,0.133,0.003,0.0,"B, C","C, B","dna, protein",0.86954,0.363206148147583,0.7314557433128357
8IBW,0.133,0.072,0.103,"C, D","B, A","protein, rna",0.86954,0.363206148147583,0.7314557433128357
8IBW,0.133,0.456,0.937,"A, B","D, C","dna, dna",0.86954,0.363206148147583,0.7314557433128357
8IBY,0.016,0.016,0.004,"E, C","B, A","rna, protein",0.72561,0.1771945506334304,0.6249698400497437
8IBZ,0.015,0.015,0.009,"C, E","B, A","protein, rna",0.72918,0.2217078059911728,0.6545417308807373
8ID2,0.082,0.05,0.027,"A, C","B, D","protein, rna",0.40109,0.1034599691629409,0.3846765756607055
8ID2,0.082,0.066,0.075,"B, D","A, C","protein, rna",0.40109,0.1034599691629409,0.3846765756607055
8ID2,0.082,0.131,0.071,"C, D","D, C","rna, rna",0.40109,0.1034599691629409,0.3846765756607055
8IDF,0.16,0.16,0.199,"A, B","B, A","protein, rna",0.88179,0.5162937045097351,0.7201356291770935
8IEW,0.439,0.188,0.23,"A, B","D, C","protein, rna",0.73911,0.2912305891513824,0.5297780632972717
8IEW,0.439,0.293,0.413,"A, C","D, B","protein, dna",0.73911,0.2912305891513824,0.5297780632972717
8IEW,0.439,0.44,0.871,"B, C","C, B","rna, dna",0.73911,0.2912305891513824,0.5297780632972717
8IEW,0.439,0.631,1.0,"C, D","B, A","dna, dna",0.73911,0.2912305891513824,0.5297780632972717
8IEW,0.439,0.645,0.718,"A, D","D, A","protein, dna",0.73911,0.2912305891513824,0.5297780632972717
8IFK,0.663,0.473,0.4,"B, D","C, A","protein, dna",0.95494,0.885055661201477,0.9126209616661072
8IFK,0.663,0.529,0.6,"A, D","D, A","protein, dna",0.95494,0.885055661201477,0.9126209616661072
8IFK,0.663,0.709,0.768,"B, C","C, B","protein, rna",0.95494,0.885055661201477,0.9126209616661072
8IFK,0.663,0.742,0.863,"A, B","D, C","protein, protein",0.95494,0.885055661201477,0.9126209616661072
8IFK,0.663,0.758,0.941,"C, D","B, A","rna, dna",0.95494,0.885055661201477,0.9126209616661072
8IFK,0.663,0.769,0.854,"A, C","D, B","protein, rna",0.95494,0.885055661201477,0.9126209616661072
8IN8,0.708,0.618,0.609,"B, J","D, A","protein, dna",0.96218,0.9073525667190552,0.90864235162735
8IN8,0.708,0.639,0.504,"C, J","C, A","protein, dna",0.96218,0.9073525667190552,0.90864235162735
8IN8,0.708,0.67,0.702,"C, I","C, B","protein, rna",0.96218,0.9073525667190552,0.90864235162735
8IN8,0.708,0.718,0.923,"I, J","B, A","rna, dna",0.96218,0.9073525667190552,0.90864235162735
8IN8,0.708,0.742,0.605,"B, I","D, B","protein, rna",0.96218,0.9073525667190552,0.90864235162735
8IN8,0.708,0.861,0.919,"B, C","D, C","protein, protein",0.96218,0.9073525667190552,0.90864235162735
8IPM,0.477,0.071,0.059,"D, A","B, A","protein, rna",0.95224,0.8339799046516418,0.8773027062416077
8IPM,0.477,0.883,0.854,"C, D","C, B","protein, protein",0.95224,0.8339799046516418,0.8773027062416077
8J8H,0.65,0.516,0.5,"A, F","D, A","protein, dna",0.96416,0.8401753306388855,0.868155837059021
8J8H,0.65,0.59,0.787,"B, F","C, A","protein, dna",0.96416,0.8401753306388855,0.868155837059021
8J8H,0.65,0.667,0.787,"A, B","D, C","protein, protein",0.96416,0.8401753306388855,0.868155837059021
8J8H,0.65,0.671,0.7,"A, E","D, B","protein, rna",0.96416,0.8401753306388855,0.868155837059021
8J8H,0.65,0.711,0.692,"B, E","C, B","protein, rna",0.96416,0.8401753306388855,0.868155837059021
8J8H,0.65,0.747,0.929,"E, F","B, A","rna, dna",0.96416,0.8401753306388855,0.868155837059021
8J9G,0.018,0.008,0.0,"B, F","D, B","protein, rna",0.904,0.8602496385574341,0.8892576098442078
8J9G,0.018,0.008,0.0,"E, F","A, B","dna, rna",0.904,0.8602496385574341,0.8892576098442078
8J9G,0.018,0.013,0.0,"A, B","C, D","protein, protein",0.904,0.8602496385574341,0.8892576098442078
8J9G,0.018,0.021,0.0,"A, F","C, B","protein, rna",0.904,0.8602496385574341,0.8892576098442078
8J9G,0.018,0.028,0.0,"B, E","D, A","protein, dna",0.904,0.8602496385574341,0.8892576098442078
8J9G,0.018,0.029,0.0,"A, E","C, A","protein, dna",0.904,0.8602496385574341,0.8892576098442078
8JL0,0.575,0.489,0.436,"B, D","C, B","protein, dna",0.93952,0.8816413283348083,0.8799967169761658
8JL0,0.575,0.506,0.612,"A, D","D, B","protein, dna",0.93952,0.8816413283348083,0.8799967169761658
8JL0,0.575,0.523,0.511,"B, C","C, A","protein, rna",0.93952,0.8816413283348083,0.8799967169761658
8JL0,0.575,0.612,0.582,"A, C","D, A","protein, rna",0.93952,0.8816413283348083,0.8799967169761658
8JL0,0.575,0.653,0.792,"A, B","D, C","protein, protein",0.93952,0.8816413283348083,0.8799967169761658
8JL0,0.575,0.664,0.964,"D, C","B, A","dna, rna",0.93952,0.8816413283348083,0.8799967169761658
8JTJ,0.546,0.365,0.672,"A, B","A, B","protein, rna",0.9013,0.8589114546775818,0.8796054720878601
8JTJ,0.546,0.397,0.395,"A, D","A, D","protein, dna",0.9013,0.8589114546775818,0.8796054720878601
8JTJ,0.546,0.615,0.726,"A, C","A, C","protein, dna",0.9013,0.8589114546775818,0.8796054720878601
8JTJ,0.546,0.668,0.878,"C, D","C, D","dna, dna",0.9013,0.8589114546775818,0.8796054720878601
8JTJ,0.546,0.683,0.897,"B, C","B, C","rna, dna",0.9013,0.8589114546775818,0.8796054720878601
8JTR,0.184,0.184,0.369,"A, B","A, B","protein, rna",0.81789,0.384326308965683,0.7380526661872864
8K0Y,0.234,0.234,0.034,"A, B","A, B","rna, rna",0.24211,0.3173885941505432,0.3220138549804687
8KAG,0.447,0.283,0.21,"B, C","C, A","protein, rna",0.73098,0.9213145971298218,0.8650321960449219
8KAG,0.447,0.468,0.766,"B, A","C, B","protein, rna",0.73098,0.9213145971298218,0.8650321960449219
8KAG,0.447,0.59,0.92,"A, C","B, A","rna, rna",0.73098,0.9213145971298218,0.8650321960449219
8OKD,0.136,0.017,0.0,"A, X","D, B","protein, rna",0.74392,0.7347935438156128,0.7454172968864441
8OKD,0.136,0.017,0.0,"B, C","C, A","protein, rna",0.74392,0.7347935438156128,0.7454172968864441
8OKD,0.136,0.019,0.0,"B, X","C, B","protein, rna",0.74392,0.7347935438156128,0.7454172968864441
8OKD,0.136,0.033,0.042,"A, C","D, A","protein, rna",0.74392,0.7347935438156128,0.7454172968864441
8OKD,0.136,0.595,0.835,"A, B","D, C","protein, protein",0.74392,0.7347935438156128,0.7454172968864441
8OMR,0.281,0.013,0.0,"A, C","A, C","protein, rna",0.89134,0.8662441372871399,0.8991868495941162
8OMR,0.281,0.05,0.107,"B, C","B, C","protein, rna",0.89134,0.8662441372871399,0.8991868495941162
8OMR,0.281,0.781,0.807,"A, B","A, B","protein, protein",0.89134,0.8662441372871399,0.8991868495941162
8OPP,0.033,0.033,0.0,"A, D","B, A","protein, rna",0.91338,0.2137650996446609,0.526063084602356
8PJB,0.107,0.107,0.023,"A, C","B, A","protein, rna",0.96137,0.8429582715034485,0.9244230389595032
8PM4,0.285,0.036,0.0,"A, D","D, A","protein, dna",0.90732,0.6292580962181091,0.8007465600967407
8PM4,0.285,0.161,0.344,"A, C","D, B","protein, dna",0.90732,0.6292580962181091,0.8007465600967407
8PM4,0.285,0.365,0.902,"B, C","C, B","rna, dna",0.90732,0.6292580962181091,0.8007465600967407
8PM4,0.285,0.382,0.808,"C, D","B, A","dna, dna",0.90732,0.6292580962181091,0.8007465600967407
8PM4,0.285,0.482,0.513,"A, B","D, C","protein, rna",0.90732,0.6292580962181091,0.8007465600967407
8PVV,0.189,0.02,0.0,"A, C","D, C","protein, protein",0.64515,0.6180581450462341,0.6700575351715088
8PVV,0.189,0.023,0.033,"C, R","C, B","protein, rna",0.64515,0.6180581450462341,0.6700575351715088
8PVV,0.189,0.041,0.138,"C, S","C, A","protein, dna",0.64515,0.6180581450462341,0.6700575351715088
8PVV,0.189,0.164,0.318,"A, S","D, A","protein, dna",0.64515,0.6180581450462341,0.6700575351715088
8PVV,0.189,0.299,0.685,"A, R","D, B","protein, rna",0.64515,0.6180581450462341,0.6700575351715088
8PVV,0.189,0.584,0.964,"R, S","B, A","rna, dna",0.64515,0.6180581450462341,0.6700575351715088
8QG0,0.247,0.054,0.062,"B, P","C, B","protein, dna",0.71653,0.6583892107009888,0.6996341943740845
8QG0,0.247,0.059,0.027,"A, B","D, C","protein, protein",0.71653,0.6583892107009888,0.6996341943740845
8QG0,0.247,0.072,0.113,"B, Q","C, A","protein, rna",0.71653,0.6583892107009888,0.6996341943740845
8QG0,0.247,0.321,0.46,"A, P","D, B","protein, dna",0.71653,0.6583892107009888,0.6996341943740845
8QG0,0.247,0.376,0.626,"A, Q","D, A","protein, rna",0.71653,0.6583892107009888,0.6996341943740845
8QG0,0.247,0.602,0.901,"P, Q","B, A","dna, rna",0.71653,0.6583892107009888,0.6996341943740845
8R0S,0.607,0.498,0.463,"A, C","C, B","protein, rna",0.94469,0.8084675669670105,0.7842653393745422
8R0S,0.607,0.538,0.512,"A, D","C, A","protein, dna",0.94469,0.8084675669670105,0.7842653393745422
8R0S,0.607,0.786,0.966,"C, D","B, A","rna, dna",0.94469,0.8084675669670105,0.7842653393745422
8SCZ,0.437,0.437,0.639,"A, B","B, A","protein, rna",0.92831,0.4896305203437805,0.705182671546936
8SD0,0.564,0.564,0.638,"A, B","B, A","protein, rna",0.96255,0.7241315841674805,0.682246744632721
8SFH,0.421,0.226,0.364,"A, D","D, A","protein, dna",0.7533,0.9000194668769836,0.8975807428359985
8SFH,0.421,0.322,0.529,"A, C","D, B","protein, dna",0.7533,0.9000194668769836,0.8975807428359985
8SFH,0.421,0.416,0.916,"C, D","B, A","dna, dna",0.7533,0.9000194668769836,0.8975807428359985
8SFH,0.421,0.492,0.722,"B, C","C, B","rna, dna",0.7533,0.9000194668769836,0.8975807428359985
8SFH,0.421,0.649,0.758,"A, B","D, C","protein, rna",0.7533,0.9000194668769836,0.8975807428359985
8SFI,0.684,0.63,0.789,"A, D","D, A","protein, dna",0.90454,0.7817623615264893,0.8243816494941711
8SFI,0.684,0.692,0.857,"A, C","D, B","protein, dna",0.90454,0.7817623615264893,0.8243816494941711
8SFI,0.684,0.697,0.976,"C, D","B, A","dna, dna",0.90454,0.7817623615264893,0.8243816494941711
8SFI,0.684,0.699,0.815,"A, B","D, C","protein, rna",0.90454,0.7817623615264893,0.8243816494941711
8SFI,0.684,0.702,0.9,"B, C","C, B","rna, dna",0.90454,0.7817623615264893,0.8243816494941711
8SFJ,0.502,0.364,0.589,"A, D","D, A","protein, dna",0.93111,0.7774666547775269,0.8293958306312561
8SFJ,0.502,0.398,0.676,"A, C","D, B","protein, dna",0.93111,0.7774666547775269,0.8293958306312561
8SFJ,0.502,0.438,0.948,"C, D","B, A","dna, dna",0.93111,0.7774666547775269,0.8293958306312561
8SFJ,0.502,0.559,0.926,"B, C","C, B","rna, dna",0.93111,0.7774666547775269,0.8293958306312561
8SFJ,0.502,0.753,0.827,"A, B","D, C","protein, rna",0.93111,0.7774666547775269,0.8293958306312561
8SFL,0.428,0.323,0.45,"A, D","D, A","protein, dna",0.87613,0.8171753287315369,0.8640651106834412
8SFL,0.428,0.343,0.502,"A, C","D, B","protein, dna",0.87613,0.8171753287315369,0.8640651106834412
8SFL,0.428,0.448,0.93,"C, D","B, A","dna, dna",0.87613,0.8171753287315369,0.8640651106834412
8SFL,0.428,0.498,0.927,"B, C","C, B","rna, dna",0.87613,0.8171753287315369,0.8640651106834412
8SFL,0.428,0.526,0.721,"A, B","D, C","protein, rna",0.87613,0.8171753287315369,0.8640651106834412
8SFN,0.559,0.324,0.43,"A, D","D, A","protein, dna",0.93795,0.8146236538887024,0.8605993390083313
8SFN,0.559,0.542,0.753,"A, C","D, B","protein, dna",0.93795,0.8146236538887024,0.8605993390083313
8SFN,0.559,0.59,0.962,"C, D","B, A","dna, dna",0.93795,0.8146236538887024,0.8605993390083313
8SFN,0.559,0.662,0.761,"A, B","D, C","protein, rna",0.93795,0.8146236538887024,0.8605993390083313
8SFN,0.559,0.677,0.953,"B, C","C, B","rna, dna",0.93795,0.8146236538887024,0.8605993390083313
8SFR,0.604,0.523,0.672,"A, C","D, A","protein, dna",0.9083,0.8154099583625793,0.8554320931434631
